; Beast names (may be shown outside dictionary / bestiary section.)
tabletxt 152, "Interceptor" ; "侵略兵器"
tabletxt 153, "Grappler" ; "グラップ"
tabletxt 154, "Octaco" ; "オクタコ"
tabletxt 155, "Ikaroo" ; "イカルゥ"
tabletxt 156, "TeruTeru" ; "テルテル"
tabletxt 157, "Sahagin" ; "サハギン"
tabletxt 158, "Trimingo" ; "トリミジンコ"
tabletxt 159, "Aqua Knight" ; "アクアナイト"
tabletxt 160, "Water Frog" ; "ミズガエル"
tabletxt 161, "Giant Serpent" ; "巨大魚"
tabletxt 162, "Fire Fox" ; "キツネ火"
tabletxt 163, "Dragon Puppy" ; "ミニドラゴン"
tabletxt 164, "Onibi" ; "鬼面火"
tabletxt 165, "Oni Fox" ; "鬼面妖狐"
tabletxt 166, "Fire Mage" ; "鬼願法師"
tabletxt 167, "Elefire" ; "バースト"
tabletxt 168, "Magmantor"; "マグマントル"
tabletxt 169, "Red Dragon"; "レッドドラゴン"
tabletxt 170, "Blow Back"; "ブローバック"
tabletxt 171, "Last Muppet"; "ラストマペット"
tabletxt 172, "Bolt Striker"	; "雷撃"
tabletxt 173, "Hand Gel"; "ハンドジェム"
tabletxt 174, "Black Pincher"; "オオグロ切斬虫"
tabletxt 175, "Ogre"	; "オーガ"
tabletxt 176, "Battle Grappler"; "バトルグラップ"
tabletxt 177, "Boulderhide"	; "イワハダー"
tabletxt 178, "Pomdog"	; "ポムン"
tabletxt 179, "Mist Ball"; "ミストボール"
tabletxt 180, "Smoggro"	; "スモッグ"
tabletxt 181, "Gremlin"	; "グレムリン"
tabletxt 182, "Windleon"; "ウインドレオン"
tabletxt 183, "Lizardio"	; "リザディオ"
tabletxt 184, "Gale Bird"; "ゲイルバード"
tabletxt 185, "Tsuchigumo"	; "ツチグモ"
tabletxt 186, "Headache"	; "ヘッド"
tabletxt 187, "Spirit"	; "タケシー"
tabletxt 188, "Squibolt" 	; "イカボルト"
tabletxt 189, "Thunder Drum" 	; "雷鼓"
tabletxt 190, "Bolts" 	; "ボルツ"
tabletxt 191, "Nue" ; "ヌエ"
tabletxt 192, "Dark Demon" ; "アークデビル"
tabletxt 193, "Tumbler" 	; "デンブル"
tabletxt 194, "Pighonker" 	; "エントン"
tabletxt 195, "Bigmouth" ; "ガブザウルス"
tabletxt 196, "Quadtanper" ; "バルタンパ"
tabletxt 197, "Clock Knight" ; "クロックナイト"
tabletxt 198, "Iron Giant"; "鉄巨兵"
tabletxt 199, "Kijo Spider"; "キジョグモ"
tabletxt 200, "Heavy Metal"; "キラーメタル"
tabletxt 201, "Grudge Fish"	; "怪魚"
tabletxt 202, "Octapot"	; "タコツボ"
tabletxt 203, "Ikarocky"	; "アンモイト"
tabletxt 204, "Rainboy"	; "ポンチョン"
tabletxt 205, "Mermarion"	; "ハゼギン"
tabletxt 206, "Hatchling"; "ヒヨンコ"
tabletxt 207, "Water Knight"; "ウォータナイト"
tabletxt 208, "Frogger"; "フロッガー"
tabletxt 209, "Filleon"; "特大魚"
tabletxt 210, "Ghost Fox"; "子妖狐"
tabletxt 211, "Flying Lizard"; "トイドラゴン"
tabletxt 212, "Hannya"; "ハンニャ"
tabletxt 213, "Flame Fox"; "火炎妖狐"
tabletxt 214, "Flame Mage"; "炎術法師"
tabletxt 215, "Mega Burst"; "メガバースト"
tabletxt 216, "Blockade"; "ボルケード"
tabletxt 217, "Dark Dragon"; "ダークドラゴン"
tabletxt 218, "Winderdog"; "風見犬"
tabletxt 219, "Cloud Ball"; "クラウドボール"
tabletxt 220, "Foggro"; "ウェザー"
tabletxt 221, "Weather"; "トイデビル"
tabletxt 222, "Chamedeon"; "カメディオン"
tabletxt 223, "Toy Devil"; "リザマスター"
tabletxt 224, "Harriade"; "ストームバード"
tabletxt 225, "Onigumo"; "オニグモ"
tabletxt 226, "Death Head"; "デスヘッド"
tabletxt 227, "Evil Spirit"; "ゲレレ"
tabletxt 228, "Sparquid"; "ゲソワット"
tabletxt 229, "Lighting Drum"; "電雷鼓"
tabletxt 230, "Elespark"; "ギガボルツ"
tabletxt 231, "Death Manty"; "デスマンティー"
tabletxt 232, "Hellbone"; "ヘルボーン"
tabletxt 233, "Bulldozer"; "ボルドーザー"
tabletxt 234, "無" ; "無"
tabletxt 235, "無" ; "無"
tabletxt 236, "無" ; "無"
tabletxt 237, "無" ; "無"
tabletxt 238, "無" ; "無"
tabletxt 239, "無" ; "無"
tabletxt 240, "Slime" ; "スライム"
tabletxt 241, "Spell Saucer"; "スペルソーサー"
tabletxt 242, "Guard Fighter" ; "ガードファイター"
tabletxt 243, "Spell Knight" ; "スペルナイト"
tabletxt 244, "Metal Horse" ; "メタルホース"
tabletxt 245, "Bruiser" ; "ブルーザー"
tabletxt 246, "Dran" ; "ドラン"
tabletxt 247, "Search Eye" ; "サーチアイ"
tabletxt 248, "Ghost Hat" ; "ハッツ"
tabletxt 249, "Chapeau Ghost" ; "シャッポー"
tabletxt 250, "Dullahan" ; "デュラハン"
tabletxt 251, "Blue Ogre"; "幻鬼"
tabletxt 252, "Yellow Ogre"; "幽鬼"
tabletxt 253, "Red Ogre"; "強鬼"
tabletxt 254, "Death" 	; "デス"
tabletxt 255, "Phantom Dragon Demon" ; "幻龍鬼"
tabletxt 256, "Phantom Dragon Demon" ; "幻龍鬼"
tabletxt 257, "Magdrad" ; "マグドラド"
tabletxt 258, "Nue" ; "ヌエ"
tabletxt 259, "Crimson Wing" ; "アカバネ"
tabletxt 260, "Exploder" ; "エクスプローダー"
tabletxt 261, "Magdrad" ; "マグドラド"
tabletxt 262, "Dogedouga" ; "ドゲドーガ"
tabletxt 263, "Phantom Dragon Demon" ; "幻龍鬼"
tabletxt 264, "Magdrad" ; "マグドラド"
tabletxt 265, "Sword" ; "剣"
tabletxt 266, "???" ; "？？？"
tabletxt 267, "Icebrand" ; "アイスブランド"
tabletxt 268, "Devil Monkey" ; "猿鬼人"
tabletxt 269, "Blade Eagle" ; "ブレイドイーグル"
tabletxt 270, "Skull Fighter" ; "スカルファイター"
tabletxt 271, "Skull Leader" ; "スカルリーダー"
tabletxt 272, "Spell Saucer" ; "スペルソーサー"
tabletxt 273, "Guard Fighter" ; "ガードファイター"
tabletxt 274, "Spell Knight" ; "スペルナイト"
tabletxt 275, "Bruiser" ; "ブルーザー"
tabletxt 276, "Dran" ; "ドラン"
tabletxt 277, "Ghost Hat" ; "ハッツ"
tabletxt 278, "Chapeau Ghost" ; "シャッポー"
tabletxt 279, "Blue Ogre"	 ; "幻鬼"
tabletxt 280, "Yellow Ogre"	 ; "幽鬼"
tabletxt 281, "Red Ogre"	 ; "強鬼"
tabletxt 282, "Crimson Wing" ; "アカバネ"
tabletxt 283, "Exploder" ; "エクスプローダー"
tabletxt 284, "Dark Dorado" ; "ダークドラド"
tabletxt 285, "Black Dragon Demon" ; "黒龍鬼"
tabletxt 286, "Gunvald" ; "ガンヴァルド"
tabletxt 287, "Borgrim" ; "ボルガノ"
tabletxt 288, "Gunvald EX" ; "ガンヴァルド改"
tabletxt 289, "無" ; "無"
tabletxt 290, "無" ; "無"
tabletxt 291, "無" ; "無"
tabletxt 292, "無" ; "無"
tabletxt 293, "無" ; "無"
tabletxt 294, "無" ; "無"
tabletxt 295, "無" ; "無"
tabletxt 296, "無" ; "無"
tabletxt 297, "無" ; "無"
tabletxt 298, "無" ; "無"
tabletxt 299, "無" ; "無"
tabletxt 300, "無" ; "無"
tabletxt 301, "無" ; "無"
tabletxt 302, "無" ; "無"
tabletxt 303, "無" ; "無"
tabletxt 304, "無" ; "無"
tabletxt 305, "無" ; "無"
tabletxt 306, "無" ; "無"
tabletxt 307, "無" ; "無"
tabletxt 308, "無" ; "無"
tabletxt 309, "無" ; "無"
tabletxt 310, "無" ; "無"
tabletxt 311, "無" ; "無"
tabletxt 312, "無" ; "無"
tabletxt 313, "無" ; "無"
tabletxt 314, "無" ; "無"
tabletxt 315, "無" ; "無"
tabletxt 316, "無" ; "無"
tabletxt 317, "無" ; "無"
tabletxt 318, "無" ; "無"
tabletxt 319, "無" ; "無"
tabletxt 320, "無" ; "無"
tabletxt 321, "無" ; "無"
tabletxt 322, "無" ; "無"
tabletxt 323, "無" ; "無"
tabletxt 324, "無" ; "無"
tabletxt 325, "無" ; "無"
tabletxt 326, "無" ; "無"
tabletxt 327, "無" ; "無"
tabletxt 328, "無" ; "無"
tabletxt 329, "無" ; "無"
tabletxt 330, "無" ; "無"
tabletxt 331, "無" ; "無"
tabletxt 332, "無" ; "無"
tabletxt 333, "無" ; "無"
tabletxt 334, "無" ; "無"
tabletxt 335, "無" ; "無"
tabletxt 336, "無" ; "無"
tabletxt 337, "無" ; "無"
tabletxt 338, "無" ; "無"
tabletxt 339, "無" ; "無"
tabletxt 340, "[NAME 1]" ; "[NAME 1]"
tabletxt 341, "[NAME 1]" ; "[NAME 1]"
tabletxt 342, "[NAME 1]" ; "[NAME 1]"
tabletxt 343, "[NAME 1]" ; "[NAME 1]"
tabletxt 344, "[NAME 1]" ; "[NAME 1]"
tabletxt 345, "[NAME 1]" ; "[NAME 1]"
tabletxt 346, "[NAME 1]" ; "[NAME 1]"
tabletxt 347, "[NAME 1]" ; "[NAME 1]"
tabletxt 348, "SWORDBOLT" ; "ソードボルト"
tabletxt 349, "[NAME 1]" ; "[NAME 1]"
tabletxt 350, "[NAME 1]" ; "[NAME 1]"
tabletxt 351, "[NAME 1]" ; "[NAME 1]"
tabletxt 352, "[NAME 1]" ; "[NAME 1]"
tabletxt 353, "[NAME 1]" ; "[NAME 1]"
tabletxt 354, "[NAME 1]" ; "[NAME 1]"
tabletxt 355, "[NAME 1]" ; "[NAME 1]"
tabletxt 356, "[NAME 1]" ; "[NAME 1]"
tabletxt 357, "[NAME 1]" ; "[NAME 1]"
tabletxt 358, "[NAME 1]" ; "[NAME 1]"
tabletxt 359, "[NAME 1]" ; "[NAME 1]"
tabletxt 360, "[NAME 1]" ; "[NAME 1]"
tabletxt 361, "[NAME 1]" ; "[NAME 1]"
tabletxt 362, "[NAME 1]" ; "[NAME 1]"
tabletxt 363, "[NAME 1]" ; "[NAME 1]"
tabletxt 364, "[NAME 1]" ; "[NAME 1]"
tabletxt 365, "[NAME 1]" ; "[NAME 1]"
tabletxt 366, "[NAME 1]" ; "[NAME 1]"
tabletxt 367, "[NAME 1]" ; "[NAME 1]"
tabletxt 368, "[NAME 1]" ; "[NAME 1]"
tabletxt 369, "無" ; "無"

; Descriptions for the dictionary / bestiary.
table 0x08B72234 + 64, 120, 56
dictionarytxt 0, "説明", "", "" ; "説明", "", ""
dictionarytxt 1, "説明", "", "" ; "説明", "", ""
dictionarytxt 2, "説明", "", "" ; "説明", "", ""
dictionarytxt 3, "説明", "", "" ; "説明", "", ""
dictionarytxt 4, "説明", "", "" ; "説明", "", ""
dictionarytxt 5, "説明", "", "" ; "説明", "", ""
dictionarytxt 6, "説明", "", "" ; "説明", "", ""
dictionarytxt 7, "説明", "", "" ; "説明", "", ""
dictionarytxt 8, "説明", "", "" ; "説明", "", ""
dictionarytxt 9, "説明", "", "" ; "説明", "", ""
dictionarytxt 10, "説明", "", "" ; "説明", "", ""
dictionarytxt 11, "説明", "", "" ; "説明", "", ""
dictionarytxt 12, "説明", "", "" ; "説明", "", ""
dictionarytxt 13, "説明", "", "" ; "説明", "", ""
dictionarytxt 14, "説明", "", "" ; "説明", "", ""
dictionarytxt 15, "説明", "", "" ; "説明", "", ""
dictionarytxt 16, "説明", "", "" ; "説明", "", ""
dictionarytxt 17, "説明", "", "" ; "説明", "", ""
dictionarytxt 18, "説明", "", "" ; "説明", "", ""
dictionarytxt 19, "説明", "", "" ; "説明", "", ""
dictionarytxt 20, "説明", "", "" ; "説明", "", ""
dictionarytxt 21, "説明", "", "" ; "説明", "", ""
dictionarytxt 22, "説明", "", "" ; "説明", "", ""
dictionarytxt 23, "説明", "", "" ; "説明", "", ""
dictionarytxt 24, "説明", "", "" ; "説明", "", ""
dictionarytxt 25, "説明", "", "" ; "説明", "", ""
dictionarytxt 26, "説明", "", "" ; "説明", "", ""
dictionarytxt 27, "説明", "", "" ; "説明", "", ""
dictionarytxt 28, "説明", "", "" ; "説明", "", ""
dictionarytxt 29, "説明", "", "" ; "説明", "", ""
dictionarytxt 30, "説明", "", "" ; "説明", "", ""
dictionarytxt 31, "説明", "", "" ; "説明", "", ""
dictionarytxt 32, "説明", "", "" ; "説明", "", ""
dictionarytxt 33, "説明", "", "" ; "説明", "", ""
dictionarytxt 34, "説明", "", "" ; "説明", "", ""
dictionarytxt 35, "説明", "", "" ; "説明", "", ""
dictionarytxt 36, "説明", "", "" ; "説明", "", ""
dictionarytxt 37, "説明", "", "" ; "説明", "", ""
dictionarytxt 38, "説明", "", "" ; "説明", "", ""
dictionarytxt 39, "説明", "", "" ; "説明", "", ""
dictionarytxt 40, "説明", "", "" ; "説明", "", ""
dictionarytxt 41, "説明", "", "" ; "説明", "", ""
dictionarytxt 42, "説明", "", "" ; "説明", "", ""
dictionarytxt 43, "説明", "", "" ; "説明", "", ""
dictionarytxt 44, "説明", "", "" ; "説明", "", ""
dictionarytxt 45, "説明", "", "" ; "説明", "", ""
dictionarytxt 46, "説明", "", "" ; "説明", "", ""
dictionarytxt 47, "説明", "", "" ; "説明", "", ""
dictionarytxt 48, "説明", "", "" ; "説明", "", ""
dictionarytxt 49, "説明", "", "" ; "説明", "", ""
dictionarytxt 50, "説明", "", "" ; "説明", "", ""
dictionarytxt 51, "説明", "", "" ; "説明", "", ""
dictionarytxt 52, "説明", "", "" ; "説明", "", ""
dictionarytxt 53, "説明", "", "" ; "説明", "", ""
dictionarytxt 54, "説明", "", "" ; "説明", "", ""
dictionarytxt 55, "説明", "", "" ; "説明", "", ""
dictionarytxt 56, "説明", "", "" ; "説明", "", ""
dictionarytxt 57, "説明", "", "" ; "説明", "", ""
dictionarytxt 58, "説明", "", "" ; "説明", "", ""
dictionarytxt 59, "説明", "", "" ; "説明", "", ""
dictionarytxt 60, "説明", "", "" ; "説明", "", ""
dictionarytxt 61, "説明", "", "" ; "説明", "", ""
dictionarytxt 62, "説明", "", "" ; "説明", "", ""
dictionarytxt 63, "説明", "", "" ; "説明", "", ""
dictionarytxt 64, "説明", "", "" ; "説明", "", ""
dictionarytxt 65, "説明", "", "" ; "説明", "", ""
dictionarytxt 66, "説明", "", "" ; "説明", "", ""
dictionarytxt 67, "説明", "", "" ; "説明", "", ""
dictionarytxt 68, "説明", "", "" ; "説明", "", ""
dictionarytxt 69, "説明", "", "" ; "説明", "", ""
dictionarytxt 70, "説明", "", "" ; "説明", "", ""
dictionarytxt 71, "説明", "", "" ; "説明", "", ""
dictionarytxt 72, "説明", "", "" ; "説明", "", ""
dictionarytxt 73, "説明", "", "" ; "説明", "", ""
dictionarytxt 74, "説明", "", "" ; "説明", "", ""
dictionarytxt 75, "説明", "", "" ; "説明", "", ""
dictionarytxt 76, "説明", "", "" ; "説明", "", ""
dictionarytxt 77, "説明", "", "" ; "説明", "", ""
dictionarytxt 78, "説明", "", "" ; "説明", "", ""
dictionarytxt 79, "説明", "", "" ; "説明", "", ""
dictionarytxt 80, "説明", "", "" ; "説明", "", ""
dictionarytxt 81, "説明", "", "" ; "説明", "", ""
dictionarytxt 82, "説明", "", "" ; "説明", "", ""
dictionarytxt 83, "説明", "", "" ; "説明", "", ""
dictionarytxt 84, "説明", "", "" ; "説明", "", ""
dictionarytxt 85, "説明", "", "" ; "説明", "", ""
dictionarytxt 86, "説明", "", "" ; "説明", "", ""
dictionarytxt 87, "説明", "", "" ; "説明", "", ""
dictionarytxt 88, "説明", "", "" ; "説明", "", ""
dictionarytxt 89, "説明", "", "" ; "説明", "", ""
dictionarytxt 90, "説明", "", "" ; "説明", "", ""
dictionarytxt 91, "説明", "", "" ; "説明", "", ""
dictionarytxt 92, "説明", "", "" ; "説明", "", ""
dictionarytxt 93, "説明", "", "" ; "説明", "", ""
dictionarytxt 94, "説明", "", "" ; "説明", "", ""
dictionarytxt 95, "説明", "", "" ; "説明", "", ""
dictionarytxt 96, "説明", "", "" ; "説明", "", ""
dictionarytxt 97, "説明", "", "" ; "説明", "", ""
dictionarytxt 98, "説明", "", "" ; "説明", "", ""
dictionarytxt 99, "説明", "", "" ; "説明", "", ""
dictionarytxt 100, "Has a soft body.", "Very weak to", "piercing attacks" ; "体が柔らかい軟体", "突く攻撃に対し", "非常に弱い"
dictionarytxt 101, "Specializes in", "ramming attacks", "with its body" ; "硬い体を生かし", "突進系の攻撃が", "得意である"
dictionarytxt 102, "Propeller blades", "constantly spin", "to stay aloft" ; "小さくても硬く", "重い武器の攻撃が", "有効になる"
dictionarytxt 103, "Fluffy dog that", "flies with its", "ears" ; "素早い動きが特徴", "牙による攻撃は", "スキが無く強力"
dictionarytxt 104, "Resists water", "attacks. Spits", "water at foes" ; "水に耐性を持ち", "遠距離の水攻撃も", "持っている"
dictionarytxt 105, "Its special", "attack can rust", "your weapons" ; "特殊な液体の", "攻撃を受けると", "武器がサビる"
dictionarytxt 106, "Watch out for", "the hypno waves", "that cause sleep" ; "催眠音波による", "ネムリ効果攻撃が", "要注意"
dictionarytxt 107, "Not aerodynamic,", "but can fly", "anyway" ; "水に耐性を持つが", "軟体の特性から", "突きは弱い"
dictionarytxt 108, "Very hard but", "weak to rusting", "attacks" ; "とても硬いが", "金属の体は", "サビに弱い"
dictionarytxt 109, "Usually gentle,", "but may breathe", "fire when mad" ; "炎の攻撃を持ち", "炎の耐性もあるが", "水には弱い"
dictionarytxt 110, "Watch out for", "its sting. It", "can poison!" ; "おしりの針に", "刺されると", "ドクを受ける"
dictionarytxt 111, "Hard to hit", "when it flies", "up in the air" ; "空中高く移動し", "攻撃がなかなか", "与えられない"
dictionarytxt 112, "Watch the sky,", "cuz here comes", "Striker!" ; "体が硬いうえに", "空中を移動する", "厄介な相手"
dictionarytxt 113, "Has a fast bite.", "with a long.", "distance attack" ; "素早い噛みつきと", "ジャンプの遠距離", "攻撃を持つ"
dictionarytxt 114, "Prefers close", "range combat and", "rushes near foes" ; "肉弾戦が得意で", "接近した攻撃を", "しかけてくる"
dictionarytxt 115, "Small and fast", "and has an", "electric attack" ; "小型で素早く動き", "雷の攻撃も持つ", ""
dictionarytxt 116, "Its water body", "is weak to", "aridity" ; "体の９９％が水で", "出来ているため", "乾燥に弱い"
dictionarytxt 117, "Uses latest", "tech to reduce", "friction" ; "カッター部分は", "摩擦熱を考慮した", "最新パーツを使用"
dictionarytxt 118, "Attacks with", "fireballs and", "resists fire!" ; "小さな鬼だが", "炎の妖術も使い", "炎の耐性も持つ"
dictionarytxt 119, "Soars through", "the sky. Fast", "dives to attack" ; "飛行能力が高く", "滑空攻撃などの", "素早い攻撃もある"
dictionarytxt 120, "Likes close", "combat, but also", "uses shurikens!" ; "接近戦も得意だが", "遠方からの手裏剣", "攻撃も特徴的"
dictionarytxt 121, "Uses distance", "attacks. Its", "heavily armored" ; "遠距離から正確な", "射撃攻撃が得意で", "装甲も硬い"
dictionarytxt 122, "It can use its", "scissors to", "release gas!" ; "尻尾のハサミから", "ドクガスを出し", "攻撃する"
dictionarytxt 123, "Layers of slime", "protect it from", "drying out" ; "乾燥から身を", "守るために体液で", "しっとりしている"
dictionarytxt 124, "Used as dish for", "celebrations in", "certain places" ; "お祝い事などで", "良く食べる地方が", "あるらしい"
dictionarytxt 125, "As it gets older", "its rock skin", "becomes harder" ; "岩で出来た表皮は", "成長とともに", "硬くなっていく"
dictionarytxt 126, "Rushes forward", "and shoots", "exploding shells" ; "素早い突進攻撃と", "爆弾を飛ばした", "攻撃が特徴的"
dictionarytxt 127, "Attacks using", "its gattling gun", "and drops bombs" ; "バルカン攻撃と", "投下型の爆弾を", "持ち合わせている"
dictionarytxt 128, "Named so because", "it bites often", "" ; "良く噛みつく事で", "この名前が", "つけられた"
dictionarytxt 129, "It's huge and", "hard, but it's", "still just a bug" ; "大きなハサミで", "勢いよく突進する", "力任せなヤツ"
dictionarytxt 130, "A ferocious", "spider with the", "face of a demon" ; "大きな足の一撃と", "ドクガスを吐く", "クモの妖怪"
dictionarytxt 131, "Rams foes and", "exhales poison", "gas" ; "突進などの攻撃と", "ドクガスを吐く", "攻撃が特徴的"
dictionarytxt 132, "Has the highest", "jumping ability", "of its class" ; "ジャンプのために", "軽量化されたため", "強度が低い"
dictionarytxt 133, "Usually found in", "dark, damp areas", "" ; "乾燥には弱く", "普段は暗い場所で", "じっとしている"
dictionarytxt 134, "Attacks using", "its punches or", "firing a lazer" ; "アームの打撃と", "レーザーを使って", "襲いかかる"
dictionarytxt 135, "Used to be an", "assasain once", "" ; "かつては暗殺集団", "として活躍した", "経歴を持つ"
dictionarytxt 136, "Doesn't move.", "It waits for", "its pray" ; "普段はじっとして", "獲物の接近を", "待っているタイプ"
dictionarytxt 137, "Entirely made of", "rock. Its hard", "to attack" ; "全身が岩のため", "非常に攻撃が", "与えづらい"
