0000  code0332        
0D54  jumpz           0x0d7a, ($h131 == 0)
0D64  setvar          0x0002, 0x00cb, ($h139 | 0x0001)
0D76  goto            0x0fb4

0D7A  jumpz           0x0da0, ($h131 == 1)
0D8A  setvar          0x0002, 0x00cb, ($h139 | 0x0002)
0D9C  goto            0x0fb4

0DA0  jumpz           0x0dc6, ($h131 == 2)
0DB0  setvar          0x0002, 0x00cb, ($h139 | 0x0004)
0DC2  goto            0x0fb4

0DC6  jumpz           0x0dec, ($h131 == 3)
0DD6  setvar          0x0002, 0x00cb, ($h139 | 0x0008)
0DE8  goto            0x0fb4

0DEC  jumpz           0x0e12, ($h131 == 4)
0DFC  setvar          0x0002, 0x00cb, ($h139 | 0x0010)
0E0E  goto            0x0fb4

0E12  jumpz           0x0e38, ($h131 == 5)
0E22  setvar          0x0002, 0x00cb, ($h139 | 0x0020)
0E34  goto            0x0fb4

0E38  jumpz           0x0e5e, ($h131 == 6)
0E48  setvar          0x0002, 0x00cb, ($h139 | 0x0040)
0E5A  goto            0x0fb4

0E5E  jumpz           0x0e84, ($h131 == 7)
0E6E  setvar          0x0002, 0x00cb, ($h139 | 0x0080)
0E80  goto            0x0fb4

0E84  jumpz           0x0eaa, ($h131 == 8)
0E94  setvar          0x0002, 0x00cb, ($h139 | 0x0100)
0EA6  goto            0x0fb4

0EAA  jumpz           0x0ed0, ($h131 == 9)
0EBA  setvar          0x0002, 0x00cb, ($h139 | 0x0200)
0ECC  goto            0x0fb4

0ED0  jumpz           0x0ef6, ($h131 == 10)
0EE0  setvar          0x0002, 0x00cb, ($h139 | 0x0400)
0EF2  goto            0x0fb4

0EF6  jumpz           0x0f1c, ($h131 == 11)
0F06  setvar          0x0002, 0x00cb, ($h139 | 0x0800)
0F18  goto            0x0fb4

0F1C  jumpz           0x0f42, ($h131 == 12)
0F2C  setvar          0x0002, 0x00cb, ($h139 | 0x1000)
0F3E  goto            0x0fb4

0F42  jumpz           0x0f68, ($h131 == 13)
0F52  setvar          0x0002, 0x00cb, ($h139 | 0x2000)
0F64  goto            0x0fb4

0F68  jumpz           0x0f8e, ($h131 == 14)
0F78  setvar          0x0002, 0x00cb, ($h139 | 0x4000)
0F8A  goto            0x0fb4

0F8E  jumpz           0x0fb4, ($h131 == 15)
0F9E  setvar          0x0002, 0x00cb, ($h139 | 0xFFFF8000)
0FB0  goto            0x0fb4

0FB4  ret             

0FB6  code0301        2, 4
0FC4  code047e        0, 1
0FD2  ret             

0FD4  code0301        2, 7
0FE2  code047e        0, 1
0FF0  ret             

0FF2  code047e        0, 0
1000  code0302        4
1008  ret             

100A  code047e        0, 0
1018  code0302        7
1020  ret             

1022  code0301        4, 5
1030  code047e        1, 1
103E  ret             

1040  code0301        4, 7
104E  code047e        1, 1
105C  ret             

105E  code047e        1, 0
106C  code0302        5
1074  ret             

1076  code047e        1, 0
1084  code0302        7
108C  ret             

108E  code047a        0, 1, 1
10A2  ret             

10A4  code047a        1, 1, 1
10B8  ret             

10BA  code047a        0, 1, 1
10CE  code047a        1, 1, 1
10E2  ret             

10E4  code047a        0, 0, 1
10F8  ret             

10FA  code047a        1, 0, 1
110E  ret             

1110  code047a        0, 0, 1
1124  code047a        1, 0, 1
1138  ret             

