0000  code0488        -1, 1
0858  dialogtxt       "とにかく前へ進むぞ！"
0870  dialogtxt       "ミューノを取り返すんだ！"
088C  goto            0x08de

0890  dialogtxt       "よくわからないけど"
08A6  dialogtxt       "とにかく前へ進もう！"
08BE  dialogtxt       "ミューノを取り返すのよ！"
08DA  goto            0x08de

08DE  code0309        
08E0  call            0x154c
08E4  code043c        1, 2
08F2  code0479        1, 2, 13
0906  call            0x1582
090A  dialogtxt       "承知！"
0914  goto            0x0918

0918  jumpz           0x0c28, ($b003 == 2)
0928  dialogtxt       "ちっ…、ニブいヤツだ"
0940  dialogtxt       "イヤな感じがケタちがいだぞ"
095E  dialogtxt       "並の召喚獣ならおかしくなってる"
0980  code047b        
0982  code0309        
0984  code0479        1, 3, 14
0998  dialogtxt       "これだけ強いんだ"
09AC  dialogtxt       "原因に近づいているハズ…"
09C8  code0309        
09CA  call            0x15b8
09CE  code0479        0, 0, 14
09E2  call            0x1516
09E6  jumpz           0x0a50, ($b002 == 0)
09F6  dialogtxt       "そういえば、ここ…"
0A0C  dialogtxt       "幻龍鬼とかマグドラドがいた"
0A2A  dialogtxt       "ルイーズ村の迷宮に、似てるな…"
0A4C  goto            0x0aaa

0A50  dialogtxt       "そういえば、ここ…"
0A66  dialogtxt       "幻龍鬼とかマグドラドがいた"
0A84  dialogtxt       "ルイーズ村の迷宮に、似てるね…"
0AA6  goto            0x0aaa

0AAA  code0309        
0AAC  call            0x154c
0AB0  code0479        1, 2, 16
0AC4  call            0x1582
0AC8  dialogtxt       "今ごろ気が付いたのか"
0AE0  dialogtxt       "これだけ似ていると"
0AF6  dialogtxt       "何か関係があるのかもしれん"
0B14  code0309        
0B16  call            0x15b8
0B1A  code043c        0, 4
0B28  code0479        0, 2, 15
0B3C  call            0x1516
0B40  jumpz           0x0b9e, ($b002 == 0)
0B50  dialogtxt       "よくわからないけど"
0B66  dialogtxt       "とにかく前へ進むぞ！"
0B7E  dialogtxt       "ミューノを取り返すんだ！"
0B9A  goto            0x0bec

0B9E  dialogtxt       "よくわからないけど"
0BB4  dialogtxt       "とにかく前へ進もう！"
0BCC  dialogtxt       "ミューノを取り返すのよ！"
0BE8  goto            0x0bec

0BEC  code0309        
0BEE  call            0x154c
0BF2  code043c        1, 2
0C00  code0479        1, 3, 12
0C14  call            0x1582
0C18  dialogtxt       "わかった"
0C24  goto            0x0c28

0C28  jumpz           0x0f26, ($b003 == 3)
0C38  dialogtxt       "うぅ…"
0C42  dialogtxt       "イヤな感じが強くなってますわ"
0C62  dialogtxt       "気をぬくとヘンになっちゃいそうです"
0C88  code0309        
0C8A  code0479        1, 2, 14
0C9E  dialogtxt       "こんなにすごいなんて"
0CB6  dialogtxt       "絶対何かに近づいていますわ"
0CD4  code0309        
0CD6  call            0x15b8
0CDA  code0479        0, 0, 14
0CEE  call            0x1516
0CF2  jumpz           0x0d5c, ($b002 == 0)
0D02  dialogtxt       "そういえば、ここ…"
0D18  dialogtxt       "幻龍鬼とかマグドラドがいた"
0D36  dialogtxt       "ルイーズ村の迷宮に、似てるな…"
0D58  goto            0x0db6

0D5C  dialogtxt       "そういえば、ここ…"
0D72  dialogtxt       "幻龍鬼とかマグドラドがいた"
0D90  dialogtxt       "ルイーズ村の迷宮に、似てるね…"
0DB2  goto            0x0db6

0DB6  code0309        
0DB8  call            0x154c
0DBC  code0479        1, 2, 16
0DD0  call            0x1582
0DD4  dialogtxt       "そう言われてみればそうですわ"
0DF4  dialogtxt       "何か関係があるんでしょうか？"
0E14  code0309        
0E16  call            0x15b8
0E1A  code043c        0, 4
0E28  code0479        0, 2, 15
0E3C  call            0x1516
0E40  jumpz           0x0e9e, ($b002 == 0)
0E50  dialogtxt       "よくわからないけど"
0E66  dialogtxt       "とにかく前へ進むぞ！"
0E7E  dialogtxt       "ミューノを取り返すんだ！"
0E9A  goto            0x0eec

0E9E  dialogtxt       "よくわからないけど"
0EB4  dialogtxt       "とにかく前へ進もう！"
0ECC  dialogtxt       "ミューノを取り返すのよ！"
0EE8  goto            0x0eec

0EEC  code0309        
0EEE  call            0x154c
0EF2  code043c        1, 2
0F00  code0479        1, 2, 12
0F14  call            0x1582
0F18  dialogtxt       "はい！"
0F22  goto            0x0f26

0F26  code0309        
0F28  call            0x1652
0F2C  call            0x15a0
0F30  code047b        
0F32  code040d        10
0F3A  code0489        0, 2, 8
0F4E  code0492        
0F50  code043c        0, 1
0F5E  code046e        25, 256, 2
0F72  done            

0F74  code031a        7
0F7C  code031b        7, -1, -1, $h136, $h137
0F9C  code031c        7, 1
0FAA  code031f        7
0FB2  ret             

0FB4  code031b        7, -1, -1, $h136, $h137
0FD4  code031c        7, 2
0FE2  code031f        7
0FEA  code031a        7
0FF2  ret             

0FF4  code031a        7
0FFC  code031b        7, (-1 - $h139), $h140, $h136, $h137
1022  code031c        7, 1
1030  code031f        7
1038  ret             

103A  code031a        6
1042  code031b        6, $h139, 0, $h136, $h137
1062  code031c        6, 1
1070  code031f        6
1078  ret             

107A  code031b        7, (-1 - $h139), $h140, $h136, $h137
10A0  code031c        7, 2
10AE  code031f        7
10B6  code031a        7
10BE  ret             

10C0  code031b        6, $h139, 0, $h136, $h137
10E0  code031c        6, 2
10EE  code031f        6
10F6  code031a        6
10FE  ret             

1100  code031a        7
1108  code031b        7, -1, -1, $h141, $h137
1128  code031c        7, 1
1136  code040d        15
113E  code031a        6
1146  code031b        6, -1, -1, $h136, $h137
1166  code031c        6, 1
1174  code031f        6
117C  code031a        7
1184  code031b        6, -1, -1, $h136, ($h137 / 2)
11AA  code031c        6, 2
11B8  code031f        6
11C0  code031a        6
11C8  ret             

11CA  code031a        7
11D2  code031b        7, -1, -1, $h141, $h137
11F2  code031c        7, 1
1200  code040d        15
1208  code031a        6
1210  code031b        6, -1, -1, $h136, $h137
1230  code031c        6, 1
123E  code031f        6
1246  code031a        7
124E  ret             

1250  code031b        6, -1, -1, $h136, ($h137 / 2)
1276  code031c        6, 2
1284  code031f        6
128C  code031a        6
1294  ret             

1296  jumpz           0x12bc, ($h131 == 0)
12A6  setvar          0x0002, 0x00cb, ($h139 | 0x0001)
12B8  goto            0x14f6

12BC  jumpz           0x12e2, ($h131 == 1)
12CC  setvar          0x0002, 0x00cb, ($h139 | 0x0002)
12DE  goto            0x14f6

12E2  jumpz           0x1308, ($h131 == 2)
12F2  setvar          0x0002, 0x00cb, ($h139 | 0x0004)
1304  goto            0x14f6

1308  jumpz           0x132e, ($h131 == 3)
1318  setvar          0x0002, 0x00cb, ($h139 | 0x0008)
132A  goto            0x14f6

132E  jumpz           0x1354, ($h131 == 4)
133E  setvar          0x0002, 0x00cb, ($h139 | 0x0010)
1350  goto            0x14f6

1354  jumpz           0x137a, ($h131 == 5)
1364  setvar          0x0002, 0x00cb, ($h139 | 0x0020)
1376  goto            0x14f6

137A  jumpz           0x13a0, ($h131 == 6)
138A  setvar          0x0002, 0x00cb, ($h139 | 0x0040)
139C  goto            0x14f6

13A0  jumpz           0x13c6, ($h131 == 7)
13B0  setvar          0x0002, 0x00cb, ($h139 | 0x0080)
13C2  goto            0x14f6

13C6  jumpz           0x13ec, ($h131 == 8)
13D6  setvar          0x0002, 0x00cb, ($h139 | 0x0100)
13E8  goto            0x14f6

13EC  jumpz           0x1412, ($h131 == 9)
13FC  setvar          0x0002, 0x00cb, ($h139 | 0x0200)
140E  goto            0x14f6

1412  jumpz           0x1438, ($h131 == 10)
1422  setvar          0x0002, 0x00cb, ($h139 | 0x0400)
1434  goto            0x14f6

1438  jumpz           0x145e, ($h131 == 11)
1448  setvar          0x0002, 0x00cb, ($h139 | 0x0800)
145A  goto            0x14f6

145E  jumpz           0x1484, ($h131 == 12)
146E  setvar          0x0002, 0x00cb, ($h139 | 0x1000)
1480  goto            0x14f6

1484  jumpz           0x14aa, ($h131 == 13)
1494  setvar          0x0002, 0x00cb, ($h139 | 0x2000)
14A6  goto            0x14f6

14AA  jumpz           0x14d0, ($h131 == 14)
14BA  setvar          0x0002, 0x00cb, ($h139 | 0x4000)
14CC  goto            0x14f6

14D0  jumpz           0x14f6, ($h131 == 15)
14E0  setvar          0x0002, 0x00cb, ($h139 | 0xFFFF8000)
14F2  goto            0x14f6

14F6  ret             

14F8  code0301        2, 4
1506  code047e        0, 1
1514  ret             

1516  code0301        2, 7
1524  code047e        0, 1
1532  ret             

1534  code047e        0, 0
1542  code0302        4
154A  ret             

154C  code047e        0, 0
155A  code0302        7
1562  ret             

1564  code0301        4, 5
1572  code047e        1, 1
1580  ret             

1582  code0301        4, 7
1590  code047e        1, 1
159E  ret             

15A0  code047e        1, 0
15AE  code0302        5
15B6  ret             

15B8  code047e        1, 0
15C6  code0302        7
15CE  ret             

15D0  code047a        0, 1, 1
15E4  ret             

15E6  code047a        1, 1, 1
15FA  ret             

15FC  code047a        0, 1, 1
1610  code047a        1, 1, 1
1624  ret             

1626  code047a        0, 0, 1
163A  ret             

163C  code047a        1, 0, 1
1650  ret             

1652  code047a        0, 0, 1
1666  code047a        1, 0, 1
167A  ret             

