0000  code0488        -1, 1
1268  jumpz           0x12ee, ($f0261 == 1)
1278  code043e        2, 6, 0
128C  walkto          2, 128, 200, 1
12A6  walkwait        2
12AE  walkto          2, 48, 200, 1
12C8  walkwait        2
12D0  walkto          2, 48, 64, 1
12EA  goto            0x1364

12EE  code043e        2, 6, 0
1302  walkto          2, 128, 180, 1
131C  walkwait        2
1324  walkto          2, 48, 180, 1
133E  walkwait        2
1346  walkto          2, 48, 64, 1
1360  goto            0x1364

1364  walkwait        6
136C  code043b        6
1374  code0439        6
137C  walkwait        2
1384  code043b        2
138C  code0439        2
1394  jumpz           0x1528, ($f0261 == 1 || $f0264 == 1)
13B0  code0478        1, 2
13BE  jumpz           0x13e6, ($b003 == 0)
13CE  code0479        1, 0, 12
13E2  goto            0x144e

13E6  jumpz           0x140e, ($b003 == 1)
13F6  code0479        1, 2, 14
140A  goto            0x144e

140E  jumpz           0x1436, ($b003 == 2)
141E  code0479        1, 2, 12
1432  goto            0x144e

1436  code0479        1, 2, 14
144A  goto            0x144e

144E  code047d        1, 2
145C  call            0x1ec4
1460  call            0x1e42
1464  jumpz           0x148a, ($b003 == 0)
1474  dialogtxt       "うぇるまん様…"
1486  goto            0x148a

148A  jumpz           0x14be, ($b003 == 1)
149A  dialogtxt       "むむ…"
14A4  dialogtxt       "何かあったのかの？"
14BA  goto            0x14be

14BE  jumpz           0x14f4, ($b003 == 2)
14CE  dialogtxt       "ちっ…"
14D8  dialogtxt       "どういうつもりだ…？"
14F0  goto            0x14f4

14F4  jumpz           0x1524, ($b003 == 3)
1504  dialogtxt       "何かあったのでしょうか？"
1520  goto            0x1524

1524  goto            0x17d8

1528  jumpz           0x169e, ($f0262 == 1)
1538  code0478        1, 2
1546  jumpz           0x156e, ($b003 == 0)
1556  code0479        1, 0, 12
156A  goto            0x15d6

156E  jumpz           0x1596, ($b003 == 1)
157E  code0479        1, 2, 14
1592  goto            0x15d6

1596  jumpz           0x15be, ($b003 == 2)
15A6  code0479        1, 2, 14
15BA  goto            0x15d6

15BE  code0479        1, 2, 14
15D2  goto            0x15d6

15D6  code047d        1, 2
15E4  call            0x1ec4
15E8  call            0x1e42
15EC  jumpz           0x1606, ($b003 == 0)
15FC  dialogtxt       "…"
1602  goto            0x1606

1606  jumpz           0x163a, ($b003 == 1)
1616  dialogtxt       "むむ…"
1620  dialogtxt       "何かあったのかの？"
1636  goto            0x163a

163A  jumpz           0x166a, ($b003 == 2)
164A  dialogtxt       "ちっ…"
1654  dialogtxt       "イヤな感じだ…"
1666  goto            0x166a

166A  jumpz           0x169a, ($b003 == 3)
167A  dialogtxt       "何かあったんですかね…？"
1696  goto            0x169a

169A  goto            0x17d8

169E  jumpz           0x1706, ($f0263 == 1)
16AE  code0478        1, 9
16BC  code0479        1, 2, 16
16D0  code047d        1, 108
16DE  call            0x1ec4
16E2  call            0x1e42
16E6  dialogtxt       "なんだ？"
16F2  dialogtxt       "感じ悪いな…"
1702  goto            0x17d8

1706  jumpz           0x176e, ($f0265 == 1)
1716  code0478        1, 10
1724  code0479        1, 0, 16
1738  code047d        1, 132
1746  call            0x1ec4
174A  call            0x1e42
174E  dialogtxt       "なんだ？"
175A  dialogtxt       "感じ悪いな…"
176A  goto            0x17d8

176E  code0478        1, 11
177C  code0479        1, 2, 16
1790  code047d        1, 109
179E  call            0x1ec4
17A2  call            0x1e42
17A6  dialogtxt       "なんなの、アレ？"
17BA  dialogtxt       "ちょっと感じ悪いかも…"
17D4  goto            0x17d8

17D8  code047b        
17DA  code0309        
17DC  call            0x1f1a
17E0  call            0x1e7e
17E4  code047b        
17E6  code0478        1, 0
17F4  code0479        1, 0, 16
1808  code047d        1, 0
1816  call            0x1ec4
181A  call            0x1e42
181E  dialogtxt       "大丈夫なのかな…？"
1834  code047b        
1836  code0309        
1838  call            0x1f1a
183C  call            0x1e7e
1840  code047b        
1842  code0333        2, 30
1850  done            

1852  code031a        7
185A  code031b        7, -1, -1, $h136, $h137
187A  code031c        7, 1
1888  code031f        7
1890  ret             

1892  code031b        7, -1, -1, $h136, $h137
18B2  code031c        7, 2
18C0  code031f        7
18C8  code031a        7
18D0  ret             

18D2  code031a        7
18DA  code031b        7, (-1 - $h139), $h140, $h136, $h137
1900  code031c        7, 1
190E  code031f        7
1916  ret             

1918  code031a        6
1920  code031b        6, $h139, 0, $h136, $h137
1940  code031c        6, 1
194E  code031f        6
1956  ret             

1958  code031b        7, (-1 - $h139), $h140, $h136, $h137
197E  code031c        7, 2
198C  code031f        7
1994  code031a        7
199C  ret             

199E  code031b        6, $h139, 0, $h136, $h137
19BE  code031c        6, 2
19CC  code031f        6
19D4  code031a        6
19DC  ret             

19DE  code031a        7
19E6  code031b        7, -1, -1, $h141, $h137
1A06  code031c        7, 1
1A14  code040d        15
1A1C  code031a        6
1A24  code031b        6, -1, -1, $h136, $h137
1A44  code031c        6, 1
1A52  code031f        6
1A5A  code031a        7
1A62  code031b        6, -1, -1, $h136, ($h137 / 2)
1A88  code031c        6, 2
1A96  code031f        6
1A9E  code031a        6
1AA6  ret             

1AA8  code031a        7
1AB0  code031b        7, -1, -1, $h141, $h137
1AD0  code031c        7, 1
1ADE  code040d        15
1AE6  code031a        6
1AEE  code031b        6, -1, -1, $h136, $h137
1B0E  code031c        6, 1
1B1C  code031f        6
1B24  code031a        7
1B2C  ret             

1B2E  code031b        6, -1, -1, $h136, ($h137 / 2)
1B54  code031c        6, 2
1B62  code031f        6
1B6A  code031a        6
1B72  ret             

1B74  jumpz           0x1b9a, ($h131 == 0)
1B84  setvar          0x0002, 0x00cb, ($h139 | 0x0001)
1B96  goto            0x1dd4

1B9A  jumpz           0x1bc0, ($h131 == 1)
1BAA  setvar          0x0002, 0x00cb, ($h139 | 0x0002)
1BBC  goto            0x1dd4

1BC0  jumpz           0x1be6, ($h131 == 2)
1BD0  setvar          0x0002, 0x00cb, ($h139 | 0x0004)
1BE2  goto            0x1dd4

1BE6  jumpz           0x1c0c, ($h131 == 3)
1BF6  setvar          0x0002, 0x00cb, ($h139 | 0x0008)
1C08  goto            0x1dd4

1C0C  jumpz           0x1c32, ($h131 == 4)
1C1C  setvar          0x0002, 0x00cb, ($h139 | 0x0010)
1C2E  goto            0x1dd4

1C32  jumpz           0x1c58, ($h131 == 5)
1C42  setvar          0x0002, 0x00cb, ($h139 | 0x0020)
1C54  goto            0x1dd4

1C58  jumpz           0x1c7e, ($h131 == 6)
1C68  setvar          0x0002, 0x00cb, ($h139 | 0x0040)
1C7A  goto            0x1dd4

1C7E  jumpz           0x1ca4, ($h131 == 7)
1C8E  setvar          0x0002, 0x00cb, ($h139 | 0x0080)
1CA0  goto            0x1dd4

1CA4  jumpz           0x1cca, ($h131 == 8)
1CB4  setvar          0x0002, 0x00cb, ($h139 | 0x0100)
1CC6  goto            0x1dd4

1CCA  jumpz           0x1cf0, ($h131 == 9)
1CDA  setvar          0x0002, 0x00cb, ($h139 | 0x0200)
1CEC  goto            0x1dd4

1CF0  jumpz           0x1d16, ($h131 == 10)
1D00  setvar          0x0002, 0x00cb, ($h139 | 0x0400)
1D12  goto            0x1dd4

1D16  jumpz           0x1d3c, ($h131 == 11)
1D26  setvar          0x0002, 0x00cb, ($h139 | 0x0800)
1D38  goto            0x1dd4

1D3C  jumpz           0x1d62, ($h131 == 12)
1D4C  setvar          0x0002, 0x00cb, ($h139 | 0x1000)
1D5E  goto            0x1dd4

1D62  jumpz           0x1d88, ($h131 == 13)
1D72  setvar          0x0002, 0x00cb, ($h139 | 0x2000)
1D84  goto            0x1dd4

1D88  jumpz           0x1dae, ($h131 == 14)
1D98  setvar          0x0002, 0x00cb, ($h139 | 0x4000)
1DAA  goto            0x1dd4

1DAE  jumpz           0x1dd4, ($h131 == 15)
1DBE  setvar          0x0002, 0x00cb, ($h139 | 0xFFFF8000)
1DD0  goto            0x1dd4

1DD4  ret             

1DD6  code0301        2, 4
1DE4  code047e        0, 1
1DF2  ret             

1DF4  code0301        2, 7
1E02  code047e        0, 1
1E10  ret             

1E12  code047e        0, 0
1E20  code0302        4
1E28  ret             

1E2A  code047e        0, 0
1E38  code0302        7
1E40  ret             

1E42  code0301        4, 5
1E50  code047e        1, 1
1E5E  ret             

1E60  code0301        4, 7
1E6E  code047e        1, 1
1E7C  ret             

1E7E  code047e        1, 0
1E8C  code0302        5
1E94  ret             

1E96  code047e        1, 0
1EA4  code0302        7
1EAC  ret             

1EAE  code047a        0, 1, 1
1EC2  ret             

1EC4  code047a        1, 1, 1
1ED8  ret             

1EDA  code047a        0, 1, 1
1EEE  code047a        1, 1, 1
1F02  ret             

1F04  code047a        0, 0, 1
1F18  ret             

1F1A  code047a        1, 0, 1
1F2E  ret             

1F30  code047a        0, 0, 1
1F44  code047a        1, 0, 1
1F58  ret             

