0000  code046d        0, 192
0806  dialogtxt       "あ、うん！"
0814  code0309        
0816  call            0x0f52
081A  call            0x0e34
081E  code047b        
0820  code040d        10
0828  code0333        2, 30
0836  code0489        0, 2, 16
084A  code0492        
084C  code043c        0, 1
085A  code048c        
085C  code0334        
085E  code046e        38, 256, 2
0872  done            

0874  code031a        7
087C  code031b        7, -1, -1, $h136, $h137
089C  code031c        7, 1
08AA  code031f        7
08B2  ret             

08B4  code031b        7, -1, -1, $h136, $h137
08D4  code031c        7, 2
08E2  code031f        7
08EA  code031a        7
08F2  ret             

08F4  code031a        7
08FC  code031b        7, (-1 - $h139), $h140, $h136, $h137
0922  code031c        7, 1
0930  code031f        7
0938  ret             

093A  code031a        6
0942  code031b        6, $h139, 0, $h136, $h137
0962  code031c        6, 1
0970  code031f        6
0978  ret             

097A  code031b        7, (-1 - $h139), $h140, $h136, $h137
09A0  code031c        7, 2
09AE  code031f        7
09B6  code031a        7
09BE  ret             

09C0  code031b        6, $h139, 0, $h136, $h137
09E0  code031c        6, 2
09EE  code031f        6
09F6  code031a        6
09FE  ret             

0A00  code031a        7
0A08  code031b        7, -1, -1, $h141, $h137
0A28  code031c        7, 1
0A36  code040d        15
0A3E  code031a        6
0A46  code031b        6, -1, -1, $h136, $h137
0A66  code031c        6, 1
0A74  code031f        6
0A7C  code031a        7
0A84  code031b        6, -1, -1, $h136, ($h137 / 2)
0AAA  code031c        6, 2
0AB8  code031f        6
0AC0  code031a        6
0AC8  ret             

0ACA  code031a        7
0AD2  code031b        7, -1, -1, $h141, $h137
0AF2  code031c        7, 1
0B00  code040d        15
0B08  code031a        6
0B10  code031b        6, -1, -1, $h136, $h137
0B30  code031c        6, 1
0B3E  code031f        6
0B46  code031a        7
0B4E  ret             

0B50  code031b        6, -1, -1, $h136, ($h137 / 2)
0B76  code031c        6, 2
0B84  code031f        6
0B8C  code031a        6
0B94  ret             

0B96  jumpz           0x0bbc, ($h131 == 0)
0BA6  setvar          0x0002, 0x00cb, ($h139 | 0x0001)
0BB8  goto            0x0df6

0BBC  jumpz           0x0be2, ($h131 == 1)
0BCC  setvar          0x0002, 0x00cb, ($h139 | 0x0002)
0BDE  goto            0x0df6

0BE2  jumpz           0x0c08, ($h131 == 2)
0BF2  setvar          0x0002, 0x00cb, ($h139 | 0x0004)
0C04  goto            0x0df6

0C08  jumpz           0x0c2e, ($h131 == 3)
0C18  setvar          0x0002, 0x00cb, ($h139 | 0x0008)
0C2A  goto            0x0df6

0C2E  jumpz           0x0c54, ($h131 == 4)
0C3E  setvar          0x0002, 0x00cb, ($h139 | 0x0010)
0C50  goto            0x0df6

0C54  jumpz           0x0c7a, ($h131 == 5)
0C64  setvar          0x0002, 0x00cb, ($h139 | 0x0020)
0C76  goto            0x0df6

0C7A  jumpz           0x0ca0, ($h131 == 6)
0C8A  setvar          0x0002, 0x00cb, ($h139 | 0x0040)
0C9C  goto            0x0df6

0CA0  jumpz           0x0cc6, ($h131 == 7)
0CB0  setvar          0x0002, 0x00cb, ($h139 | 0x0080)
0CC2  goto            0x0df6

0CC6  jumpz           0x0cec, ($h131 == 8)
0CD6  setvar          0x0002, 0x00cb, ($h139 | 0x0100)
0CE8  goto            0x0df6

0CEC  jumpz           0x0d12, ($h131 == 9)
0CFC  setvar          0x0002, 0x00cb, ($h139 | 0x0200)
0D0E  goto            0x0df6

0D12  jumpz           0x0d38, ($h131 == 10)
0D22  setvar          0x0002, 0x00cb, ($h139 | 0x0400)
0D34  goto            0x0df6

0D38  jumpz           0x0d5e, ($h131 == 11)
0D48  setvar          0x0002, 0x00cb, ($h139 | 0x0800)
0D5A  goto            0x0df6

0D5E  jumpz           0x0d84, ($h131 == 12)
0D6E  setvar          0x0002, 0x00cb, ($h139 | 0x1000)
0D80  goto            0x0df6

0D84  jumpz           0x0daa, ($h131 == 13)
0D94  setvar          0x0002, 0x00cb, ($h139 | 0x2000)
0DA6  goto            0x0df6

0DAA  jumpz           0x0dd0, ($h131 == 14)
0DBA  setvar          0x0002, 0x00cb, ($h139 | 0x4000)
0DCC  goto            0x0df6

0DD0  jumpz           0x0df6, ($h131 == 15)
0DE0  setvar          0x0002, 0x00cb, ($h139 | 0xFFFF8000)
0DF2  goto            0x0df6

0DF6  ret             

0DF8  code0301        2, 4
0E06  code047e        0, 1
0E14  ret             

0E16  code0301        2, 7
0E24  code047e        0, 1
0E32  ret             

0E34  code047e        0, 0
0E42  code0302        4
0E4A  ret             

0E4C  code047e        0, 0
0E5A  code0302        7
0E62  ret             

0E64  code0301        4, 5
0E72  code047e        1, 1
0E80  ret             

0E82  code0301        4, 7
0E90  code047e        1, 1
0E9E  ret             

0EA0  code047e        1, 0
0EAE  code0302        5
0EB6  ret             

0EB8  code047e        1, 0
0EC6  code0302        7
0ECE  ret             

0ED0  code047a        0, 1, 1
0EE4  ret             

0EE6  code047a        1, 1, 1
0EFA  ret             

0EFC  code047a        0, 1, 1
0F10  code047a        1, 1, 1
0F24  ret             

0F26  code047a        0, 0, 1
0F3A  ret             

0F3C  code047a        1, 0, 1
0F50  ret             

0F52  code047a        0, 0, 1
0F66  code047a        1, 0, 1
0F7A  ret             

